depth,whole,not_whole
138.02,324,212.5
138.82,188,160.5
139.62,96,212
140.42,153,155.5
141.22,322,182.5
142.02,152,160
142.82,161,195.5
143.62,185,140.5
144.42,285,234.5
145.22,152,183
146.02,132,184.5
146.82,210,121
147.62,121,196.5
148.42,160,162
149.22,149,159
150.02,195,128
150.82,318,224
151.62,170,143
152.42,138,186
153.22,148,177
154.02,136,207.5
154.82,138,167
155.62,118,184
156.42,134,184
157.22,287.5,269.5
158.02,134,198
158.82,125,197
159.62,101,207
160.42,114,197.5
161.22,126,182
161.82,101,207
162.82,161,148.5
163.62,125,181.5
164.42,170,149
165.22,135,188.5
166.02,122,181.5
166.82,94,207
167.62,108,192.5
168.42,0,0
169.22,137,164.5
170.02,130,183
170.82,122,180
171.62,0,0
172.42,0,0
173.22,0,0
174.02,125,185
174.82,82,276
175.62,58,44
176.42,0,0
177.22,0,0
178.02,0,0
178.82,0,0
179.62,99,219.5
180.42,113,209.5
181.22,121,240
182.02,143,164
182.82,119,194
183.62,133,180
184.42,136,227.5
185.22,133,179
186.02,152,181.5
186.82,103,199
187.62,169,187.5
188.42,120,216.5
189.22,146,174
190.02,108,207.5
190.82,134,196
191.62,164,169
192.42,156,151.5
193.22,133,176
194.02,126,183.5
194.82,172,175.5
195.62,104,218
196.42,143,180.5
197.22,103,213.5
198.02,145,169
198.82,174,129.5
199.62,148,174
200.42,111,205
201.22,130,180
202.02,19,82
202.82,134,166
203.62,122,188
204.42,157,153
205.22,106,200.5
206.02,0,0
206.82,0,0
207.62,155,160
208.42,161,173.5
209.22,145,189
210.02,69,249
210.82,135,174.5
211.62,175,186.5
212.42,145,161
213.22,159,167.5
214.02,177,148
214.82,316,200.5
215.62,193,195.5
216.42,105,218.5
217.22,142,180
218.02,183,139.5
218.82,152,158
219.62,148,158.5
220.42,177,158
221.22,181,128
222.02,135,166
222.82,112,211.5
223.62,158,193
224.42,176,136
225.22,131,183.5
226.02,192,177.5
226.82,171,137
227.62,337,206
228.42,197,186
229.22,152,175
230.02,164,189
230.82,147,215
231.62,161,186.5
232.42,91,214.5
233.22,99,212
234.02,149,182.5
234.82,113,218
235.62,157,146
236.42,201,189
237.22,134,199
238.02,170,176.5
238.82,97,206.5
239.62,114,197
240.42,148,202.5
241.22,101,220
242.02,118,187.5
242.82,115,220.5
243.62,257,245
244.42,133,178.5
245.22,143,167
246.02,129,194
246.82,90,216
247.62,144,163
248.42,300,229
249.22,209,152.5
250.02,276,238
250.82,131,185
251.62,0,0
252.42,178,186
253.22,283,234.5
254.02,162,167
254.82,264,261
255.62,189,134.5
256.42,312,233.5
257.22,170,167.5
258.02,292,234
258.82,127,197.5
259.62,251,258
260.42,140,202
261.22,221,329
262.02,119,196
262.82,242,278
263.62,69,242
264.42,228,292
264.82,104,197
266.02,NA,NA
267.62,NA,NA
269.22,NA,NA
270.82,NA,NA
271.02,66,240
271.62,98,215
272.42,103,222.5
273.22,96,225
274.02,121,181
274.82,121,211
275.62,164,160.5
276.42,183,156.5
277.22,126,180
278.02,22,101
278.82,258,258
279.62,127,189.5
280.42,165,196.5
281.22,141,180
282.02,114,197.5
282.82,99,234.5
