sample,valve,no_of_species,efficiency
1,300,28,0.9066666666666666
1,400,32,0.92
1,500,36,0.928
65,300,28,0.9066666666666666
65,400,33,0.9175
65,500,35,0.9299999999999999
97,300,17,0.9433333333333334
97,400,21,0.9475
97,500,23,0.954
145,300,26,0.9133333333333333
145,400,28,0.9299999999999999
145,500,32,0.9359999999999999
225,300,25,0.9166666666666666
225,400,31,0.9225
225,500,33,0.9339999999999999
233,300,26,0.9133333333333333
233,400,32,0.92
233,500,36,0.928
241,300,20,0.9333333333333333
241,400,26,0.935
241,500,26,0.948
249,300,20,0.9333333333333333
249,400,24,0.94
249,500,28,0.944
257,300,23,0.9233333333333333
257,400,26,0.935
257,500,29,0.942
259,300,24,0.92
259,400,26,0.935
259,500,26,0.948
385,300,26,0.9133333333333333
385,400,29,0.9275
385,500,34,0.9319999999999999
449,300,27,0.91
449,400,31,0.9225
449,500,39,0.922
577,300,25,0.9166666666666666
577,400,28,0.9299999999999999
577,500,32,0.9359999999999999
609,300,26,0.9133333333333333
609,400,28,0.9299999999999999
609,500,35,0.9299999999999999
705,300,32,0.8933333333333333
705,400,35,0.9125
705,500,40,0.92
