depth,mass
138.02,0.101
138.82,0.1
139.62,0.101
140.42,0.103
141.22,0.101
142.02,0.102
142.82,0.101
143.62,0.101
144.42,0.1
145.22,0.102
146.02,0.103
146.82,0.101
147.62,0.104
148.42,0.102
149.22,0.102
150.02,0.102
150.82,0.102
151.62,0.104
152.42,0.102
153.22,0.104
154.02,0.101
154.82,0.103
155.62,0.103
156.42,0.102
157.22,0.101
158.02,0.1
158.82,0.102
159.62,0.1
160.42,0.102
161.22,0.1
161.82,0.104
162.82,0.101
163.62,0.102
164.42,0.101
165.22,0.101
166.02,0.103
166.82,0.102
167.62,0.102
168.42,0.102
169.22,0.103
170.02,0.102
170.82,0.101
171.62,0.103
172.42,0.103
173.22,0.101
174.02,0.103
174.82,0.102
175.62,0.104
176.42,0.099
177.22,0.106
178.02,0.101
178.82,0.099
179.62,0.103
180.42,0.098
181.22,0.1
182.02,0.099
182.82,0.103
183.62,0.097
184.42,0.101
185.22,0.104
186.02,0.099
186.82,0.098
187.62,0.098
188.42,0.103
189.22,0.101
190.02,0.099
190.82,0.098
191.62,0.1
192.42,0.105
193.22,0.104
194.02,0.099
194.82,0.101
195.62,0.101
196.42,0.097
197.22,0.101
198.02,0.099
198.82,0.102
199.62,0.103
200.42,0.1
201.22,0.098
202.02,0.099
202.82,0.098
203.62,0.103
204.42,0.105
205.22,0.101
206.02,0.104
206.82,0.099
207.62,0.102
208.42,0.1
209.22,0.1
210.02,0.099
210.82,0.098
211.62,0.099
212.42,0.101
213.22,0.102
214.02,0.097
214.82,0.102
215.62,0.098
216.42,0.1
217.22,0.098
218.02,0.1
218.82,0.1
219.62,0.102
220.42,0.104
221.22,0.102
222.02,0.103
222.82,0.101
223.62,0.101
224.42,0.101
225.22,0.099
226.02,0.1
226.82,0.103
227.62,0.101
228.42,0.097
229.22,0.1
230.02,0.097
230.82,0.099
231.62,0.098
232.42,0.101
233.22,0.099
234.02,0.099
234.82,0.099
235.62,0.102
236.42,0.098
237.22,0.099
238.02,0.098
238.82,0.101
239.62,0.098
240.42,0.101
241.22,0.1
242.02,0.099
242.82,0.1
243.62,0.104
244.42,0.099
245.22,0.104
246.02,0.098
246.82,0.101
247.62,0.098
248.42,0.101
249.22,0.105
250.02,0.101
250.82,0.097
251.62,0.101
252.42,0.096
253.22,0.1
254.02,0.097
254.82,0.098
255.62,0.105
256.42,0.1
257.22,0.095
258.02,0.102
258.82,0.099
259.62,0.102
260.42,0.101
261.22,0.099
262.02,0.1
262.82,0.096
263.62,0.097
264.42,0.1
264.82,0.099
266.02,NA
267.62,NA
269.22,NA
270.82,NA
271.02,0.098
271.62,0.101
272.42,0.099
273.22,0.099
274.02,0.103
274.82,0.104
275.62,0.104
276.42,0.096
277.22,0.105
278.02,0.1
278.82,0.104
279.62,0.098
280.42,0.105
281.22,0.102
282.02,0.101
282.82,0.103
