depth,micros
138.02,242
138.82,92
139.62,110
140.42,262
141.22,388
142.02,365
142.82,167
143.62,115
144.42,154
145.22,75
146.02,85
146.82,58
147.62,107
148.42,120
149.22,60
150.02,116
150.82,137
151.62,147
152.42,215
153.22,220
154.02,268
154.82,263
155.62,286
156.42,286
157.22,88
158.02,94
158.82,102
159.62,138
160.42,143
161.22,320
161.82,1861
162.82,358
163.62,2253
164.42,1242
165.22,904
166.02,628
166.82,650
167.62,616
168.42,317
169.22,1446
170.02,718
170.82,845
171.62,302
172.42,337
173.22,305
174.02,1324
174.82,540
175.62,621
176.42,309
177.22,308
178.02,309
178.82,300
179.62,265
180.42,118
181.22,178
182.02,261
182.82,210
183.62,198
184.42,213
185.22,280
186.02,216
186.82,62
187.62,48
188.42,92
189.22,78
190.02,65
190.82,47
191.62,60
192.42,62
193.22,509
194.02,483
194.82,571
195.62,800
196.42,309
197.22,230
198.02,362
198.82,550
199.62,518
200.42,729
201.22,556
202.02,480
202.82,502
203.62,158
204.42,181
205.22,535
206.02,302
206.82,304
207.62,569
208.42,176
209.22,221
210.02,240
210.82,143
211.62,146
212.42,81
213.22,86
214.02,125
214.82,140
215.62,305
216.42,204
217.22,280
218.02,204
218.82,173
219.62,96
220.42,109
221.22,79
222.02,164
222.82,92
223.62,96
224.42,200
225.22,885
226.02,106
226.82,228
227.62,284
228.42,215
229.22,217
230.02,396
230.82,177
231.62,279
232.42,349
233.22,372
234.02,290
234.82,483
235.62,341
236.42,442
237.22,294
238.02,204
238.82,232
239.62,509
240.42,1191
241.22,1180
242.02,518
242.82,1020
243.62,875
244.42,941
245.22,954
246.02,669
246.82,1392
247.62,434
248.42,296
249.22,532
250.02,362
250.82,1011
251.62,614
252.42,402
253.22,449
254.02,348
254.82,572
255.62,465
256.42,394
257.22,153
258.02,381
258.82,514
259.62,300
260.42,106
261.22,156
262.02,62
262.82,120
263.62,252
264.42,496
264.82,277
266.02,NA
267.62,NA
269.22,NA
270.82,NA
271.02,537
271.62,298
272.42,1086
273.22,1044
274.02,746
274.82,414
275.62,1235
276.42,660
277.22,619
278.02,669
278.82,714
279.62,132
280.42,93
281.22,63
282.02,235
282.82,654
