depth,pristine,dissolving,centre_only
138.02,67,144,4
138.82,94,115,12
139.62,63,180,13
140.42,74,83,11
141.22,25,71,13
142.02,9,31,10
142.82,18,71,20
143.62,47,87,5
144.42,111,167,20
145.22,77,131,6
146.02,78,145,14
146.82,92,89,4
147.62,65,140,20
148.42,68,114,18
149.22,107,134,11
150.02,80,84,5
150.82,81,129,27
151.62,84,110,5
152.42,102,152,11
153.22,41,128,4
154.02,32,122,23
154.82,73,120,4
155.62,36,119,17
156.42,32,133,12
157.22,177,191,47
158.02,50,131,26
158.82,33,146,21
159.62,57,168,13
160.42,66,162,17
161.22,90,135,7
161.82,90,153,12
162.82,90,103,0
163.62,36,90,5
164.42,72,64,2
165.22,35,77,3
166.02,33,84,2
166.82,54,159,8
167.62,10,63,1
168.42,0,0,0
169.22,41,69,1
170.02,41,95,10
170.82,99,126,5
171.62,0,0,0
172.42,0,0,0
173.22,0,0,0
174.02,35,78,4
174.82,23,186,26
175.62,0,5,0
176.42,0,0,0
177.22,0,0,0
178.02,0,0,0
178.82,0,0,0
179.62,40,131,13
180.42,83,145,15
181.22,82,164,24
182.02,55,79,2
182.82,85,128,7
183.62,48,101,4
184.42,79,149,12
185.22,86,112,6
186.02,101,128,3
186.82,47,147,19
187.62,29,114,21
188.42,39,124,13
189.22,14,96,22
190.02,41,140,33
190.82,120,166,17
191.62,139,153,9
192.42,104,110,14
193.22,66,135,4
194.02,102,145,8
194.82,142,144,3
195.62,55,156,6
196.42,120,148,8
197.22,84,174,9
198.02,109,128,3
198.82,76,83,4
199.62,69,138,1
200.42,32,135,13
201.22,65,133,4
202.02,0,51,9
202.82,75,123,1
203.62,67,127,9
204.42,77,98,7
205.22,45,121,30
206.02,0,0,0
206.82,0,0,0
207.62,20,81,4
208.42,104,125,14
209.22,66,123,4
210.02,45,161,17
210.82,42,77,13
211.62,59,90,19
212.42,76,90,12
213.22,69,101,3
214.02,66,79,19
214.82,147,113,15
215.62,95,117,11
216.42,52,146,10
217.22,79,107,2
218.02,96,78,5
218.82,70,107,8
219.62,68,88,13
220.42,90,95,7
221.22,99,80,11
222.02,81,105,19
222.82,64,131,15
223.62,95,123,12
224.42,51,61,5
225.22,50,92,12
226.02,89,113,9
226.82,108,112,7
227.62,101,101,22
228.42,87,103,11
229.22,47,71,7
230.02,93,102,9
230.82,59,137,17
231.62,104,116,22
232.42,71,159,14
233.22,78,152,12
234.02,65,103,13
234.82,53,156,6
235.62,75,87,5
236.42,106,134,9
237.22,70,122,16
238.02,77,122,10
238.82,48,145,10
239.62,59,123,8
240.42,40,95,6
241.22,49,130,7
242.02,37,93,6
242.82,54,147,5
243.62,91,117,5
244.42,41,110,4
245.22,52,97,5
246.02,61,139,6
246.82,47,110,10
247.62,67,96,3
248.42,158,151,15
249.22,106,88,8
250.02,122,167,7
250.82,37,85,5
251.62,0,0,0
252.42,71,108,2
253.22,94,141,17
254.02,51,77,6
254.82,44,90,5
255.62,30,50,5
256.42,37,121,6
257.22,64,115,13
258.02,55,153,15
258.82,93,166,8
259.62,116,190,28
260.42,115,146,36
261.22,148,255,45
262.02,101,172,15
262.82,193,237,26
263.62,61,210,18
264.42,142,220,16
264.82,65,170,5
266.02,NA,NA,NA
267.62,NA,NA,NA
269.22,NA,NA,NA
270.82,NA,NA,NA
271.02,30,178,8
271.62,52,156,11
272.42,56,166,5
273.22,29,154,3
274.02,31,96,7
274.82,63,160,6
275.62,7,41,2
276.42,30,84,1
277.22,33,100,10
278.02,14,62,6
278.82,76,148,8
279.62,94,157,9
280.42,97,167,6
281.22,101,144,7
282.02,28,132,23
282.82,59,139,34
