valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_oc,no_of_p_brev,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_s_rot,p_oc_pc,p_brev_pc,s_con_pc,s_pin_pc,a_ped_pc,s_rot_pc
0.5,Campylodiscus hibernicus,1,0,0,0.5,0,0,100,-1,0,0,0,0,0,0,0,0,0,0,0,0
1.5,Cavinula cocconeiformis,2,0,0,1.5,0,0,100,-0.33333333333333326,0,0,0,0,0,0,0,0,0,0,0,0
2.5,Cavinula scutelloides,3,0,0,2.5,0,0,100,-0.19999999999999996,0,0,0,0,0,0,0,0,0,0,0,0
3.5,Sellaphora rotunda,4,0,0,3.5,0,0,100,-0.1428571428571428,0,0,0,0,0,1,0,0,0,0,0,28.57142857142857
4.5,Navicula cari,5,0,0,4.5,0,0,100,-0.11111111111111116,0,0,0,0,0,1,0,0,0,0,0,22.22222222222222
5.5,Amphora pediculus,6,0,0,5.5,0,0,100,-0.09090909090909083,0,0,0,0,1,1,0,0,0,0,18.181818181818183,18.181818181818183
6.5,Placoneis balcanica,7,0,0,6.5,0,0,100,-0.07692307692307687,0,0,0,0,1,1,0,0,0,0,15.384615384615385,15.384615384615385
7.5,Staurosirella pinnata,8,0,1,6.5,0,13.333333333333334,86.66666666666667,-0.06666666666666665,0,0,0,1,1,1,0,0,0,13.333333333333334,13.333333333333334,13.333333333333334
8.5,Staurosirella pinnata,8,0,2,6.5,0,23.52941176470588,76.47058823529412,0.05882352941176472,0,0,0,2,1,1,0,0,0,23.52941176470588,11.76470588235294,11.76470588235294
9.5,Staurosirella pinnata,8,0,3,6.5,0,31.57894736842105,68.42105263157895,0.1578947368421053,0,0,0,3,1,1,0,0,0,31.57894736842105,10.526315789473683,10.526315789473683
10,Pseudostaurosira brevistriata,9,0,3.5,6.5,0,35,65,0.09999999999999998,0,1,0,3,1,1,0,10,0,30,10,10
11,Staurosira venter,10,0,4.5,6.5,0,40.909090909090914,59.09090909090909,0.09090909090909094,0,1,1,3,1,1,0,9.090909090909092,9.090909090909092,27.27272727272727,9.090909090909092,9.090909090909092
11.5,Staurosira venter,10,0,5,6.5,0,43.47826086956522,56.52173913043478,0.13043478260869568,0,1,2,3,1,1,0,8.695652173913043,17.391304347826086,26.08695652173913,8.695652173913043,8.695652173913043
12,Pseudostaurosira brevistriata,10,0,5.5,6.5,0,45.83333333333333,54.166666666666664,0.16666666666666663,0,2,2,3,1,1,0,16.666666666666664,16.666666666666664,25,8.333333333333332,8.333333333333332
13,Cyclotella ocellata,11,1,5.5,6.5,7.6923076923076925,42.30769230769231,50,0.15384615384615385,1,2,2,3,1,1,7.6923076923076925,15.384615384615385,15.384615384615385,23.076923076923077,7.6923076923076925,7.6923076923076925
14,Cyclotella ocellata,11,2,5.5,6.5,14.285714285714285,39.285714285714285,46.42857142857143,0.2142857142857143,2,2,2,3,1,1,14.285714285714285,14.285714285714285,14.285714285714285,21.428571428571427,7.142857142857142,7.142857142857142
15,Cyclotella ocellata,11,3,5.5,6.5,20,36.666666666666664,43.333333333333336,0.2666666666666667,3,2,2,3,1,1,20,13.333333333333334,13.333333333333334,20,6.666666666666667,6.666666666666667
16,Cyclotella ocellata,11,4,5.5,6.5,25,34.375,40.625,0.3125,4,2,2,3,1,1,25,12.5,12.5,18.75,6.25,6.25
17,Cyclotella ocellata,11,5,5.5,6.5,29.411764705882355,32.35294117647059,38.23529411764706,0.3529411764705882,5,2,2,3,1,1,29.411764705882355,11.76470588235294,11.76470588235294,17.647058823529413,5.88235294117647,5.88235294117647
18,Cyclotella ocellata,11,6,5.5,6.5,33.33333333333333,30.555555555555557,36.11111111111111,0.38888888888888884,6,2,2,3,1,1,33.33333333333333,11.11111111111111,11.11111111111111,16.666666666666664,5.555555555555555,5.555555555555555
19,Cyclotella ocellata,11,7,5.5,6.5,36.84210526315789,28.947368421052634,34.21052631578947,0.42105263157894735,7,2,2,3,1,1,36.84210526315789,10.526315789473683,10.526315789473683,15.789473684210526,5.263157894736842,5.263157894736842
20,Cyclotella ocellata,11,8,5.5,6.5,40,27.500000000000004,32.5,0.44999999999999996,8,2,2,3,1,1,40,10,10,15,5,5
21,Cyclotella ocellata,11,9,5.5,6.5,42.857142857142854,26.190476190476193,30.952380952380953,0.47619047619047616,9,2,2,3,1,1,42.857142857142854,9.523809523809524,9.523809523809524,14.285714285714285,4.761904761904762,4.761904761904762
22,Pseudostaurosira brevistriata,11,9,6.5,6.5,40.909090909090914,29.545454545454547,29.545454545454547,0.5,9,3,2,3,1,1,40.909090909090914,13.636363636363635,9.090909090909092,13.636363636363635,4.545454545454546,4.545454545454546
23,Cyclotella ocellata,11,10,6.5,6.5,43.47826086956522,28.26086956521739,28.26086956521739,0.5217391304347826,10,3,2,3,1,1,43.47826086956522,13.043478260869565,8.695652173913043,13.043478260869565,4.3478260869565215,4.3478260869565215
24,Cyclotella ocellata,11,11,6.5,6.5,45.83333333333333,27.083333333333332,27.083333333333332,0.5416666666666667,11,3,2,3,1,1,45.83333333333333,12.5,8.333333333333332,12.5,4.166666666666666,4.166666666666666
25,Cyclotella ocellata,11,12,6.5,6.5,48,26,26,0.56,12,3,2,3,1,1,48,12,8,12,4,4
26,Cyclotella ocellata,11,13,6.5,6.5,50,25,25,0.5769230769230769,13,3,2,3,1,1,50,11.538461538461538,7.6923076923076925,11.538461538461538,3.8461538461538463,3.8461538461538463
27,Cyclotella ocellata,11,14,6.5,6.5,51.85185185185185,24.074074074074073,24.074074074074073,0.5925925925925926,14,3,2,3,1,1,51.85185185185185,11.11111111111111,7.4074074074074066,11.11111111111111,3.7037037037037033,3.7037037037037033
28,Cyclotella ocellata,11,15,6.5,6.5,53.57142857142857,23.214285714285715,23.214285714285715,0.6071428571428572,15,3,2,3,1,1,53.57142857142857,10.714285714285714,7.142857142857142,10.714285714285714,3.571428571428571,3.571428571428571
29,Cyclotella ocellata,11,16,6.5,6.5,55.172413793103445,22.413793103448278,22.413793103448278,0.6206896551724138,16,3,2,3,1,1,55.172413793103445,10.344827586206897,6.896551724137931,10.344827586206897,3.4482758620689653,3.4482758620689653
30,Cyclotella ocellata,11,17,6.5,6.5,56.666666666666664,21.666666666666668,21.666666666666668,0.6333333333333333,17,3,2,3,1,1,56.666666666666664,10,6.666666666666667,10,3.3333333333333335,3.3333333333333335
31,Cyclotella ocellata,11,18,6.5,6.5,58.06451612903226,20.967741935483872,20.967741935483872,0.6451612903225806,18,3,2,3,1,1,58.06451612903226,9.67741935483871,6.451612903225806,9.67741935483871,3.225806451612903,3.225806451612903
32,Staurosira venter,11,18,7.5,6.5,56.25,23.4375,20.3125,0.65625,18,3,3,3,1,1,56.25,9.375,9.375,9.375,3.125,3.125
33,Staurosira venter,11,18,8.5,6.5,54.54545454545454,25.757575757575758,19.696969696969695,0.6666666666666667,18,3,4,3,1,1,54.54545454545454,9.090909090909092,12.121212121212121,9.090909090909092,3.0303030303030303,3.0303030303030303
34,Cyclotella ocellata,11,19,8.5,6.5,55.88235294117647,25,19.11764705882353,0.6764705882352942,19,3,4,3,1,1,55.88235294117647,8.823529411764707,11.76470588235294,8.823529411764707,2.941176470588235,2.941176470588235
35,Cyclotella minuscula,12,20,8.5,6.5,57.14285714285714,24.285714285714285,18.571428571428573,0.6571428571428571,19,3,4,3,1,1,54.285714285714285,8.571428571428571,11.428571428571429,8.571428571428571,2.857142857142857,2.857142857142857
36,Cyclotella minuscula,12,21,8.5,6.5,58.333333333333336,23.61111111111111,18.055555555555554,0.6666666666666667,19,3,4,3,1,1,52.77777777777778,8.333333333333332,11.11111111111111,8.333333333333332,2.7777777777777777,2.7777777777777777
37,Cyclotella ocellata,12,22,8.5,6.5,59.45945945945946,22.972972972972975,17.56756756756757,0.6756756756756757,20,3,4,3,1,1,54.054054054054056,8.108108108108109,10.81081081081081,8.108108108108109,2.7027027027027026,2.7027027027027026
38,Cyclotella ocellata,12,23,8.5,6.5,60.526315789473685,22.36842105263158,17.105263157894736,0.6842105263157895,21,3,4,3,1,1,55.26315789473685,7.894736842105263,10.526315789473683,7.894736842105263,2.631578947368421,2.631578947368421
39,Cyclotella ocellata,12,24,8.5,6.5,61.53846153846154,21.794871794871796,16.666666666666664,0.6923076923076923,22,3,4,3,1,1,56.41025641025641,7.6923076923076925,10.256410256410255,7.6923076923076925,2.564102564102564,2.564102564102564
40,Cyclotella ocellata,12,25,8.5,6.5,62.5,21.25,16.25,0.7,23,3,4,3,1,1,57.49999999999999,7.5,10,7.5,2.5,2.5
41,Cyclotella ocellata,12,26,8.5,6.5,63.41463414634146,20.73170731707317,15.853658536585366,0.7073170731707317,24,3,4,3,1,1,58.536585365853654,7.317073170731707,9.75609756097561,7.317073170731707,2.4390243902439024,2.4390243902439024
42,Cyclotella ocellata,12,27,8.5,6.5,64.28571428571429,20.238095238095237,15.476190476190476,0.7142857142857143,25,3,4,3,1,1,59.523809523809526,7.142857142857142,9.523809523809524,7.142857142857142,2.380952380952381,2.380952380952381
43,Cyclotella ocellata,12,28,8.5,6.5,65.11627906976744,19.767441860465116,15.11627906976744,0.7209302325581395,26,3,4,3,1,1,60.46511627906976,6.976744186046512,9.30232558139535,6.976744186046512,2.3255813953488373,2.3255813953488373
44,Cyclotella ocellata,12,29,8.5,6.5,65.9090909090909,19.318181818181817,14.772727272727273,0.7272727272727273,27,3,4,3,1,1,61.36363636363637,6.8181818181818175,9.090909090909092,6.8181818181818175,2.272727272727273,2.272727272727273
45,Cyclotella ocellata,12,30,8.5,6.5,66.66666666666666,18.88888888888889,14.444444444444443,0.7333333333333334,28,3,4,3,1,1,62.22222222222222,6.666666666666667,8.88888888888889,6.666666666666667,2.2222222222222223,2.2222222222222223
46,Cyclotella ocellata,12,31,8.5,6.5,67.3913043478261,18.478260869565215,14.130434782608695,0.7391304347826086,29,3,4,3,1,1,63.04347826086957,6.521739130434782,8.695652173913043,6.521739130434782,2.1739130434782608,2.1739130434782608
47,Cyclotella ocellata,12,32,8.5,6.5,68.08510638297872,18.085106382978726,13.829787234042554,0.7446808510638299,30,3,4,3,1,1,63.829787234042556,6.382978723404255,8.51063829787234,6.382978723404255,2.127659574468085,2.127659574468085
48,Cyclotella ocellata,12,33,8.5,6.5,68.75,17.708333333333336,13.541666666666666,0.75,31,3,4,3,1,1,64.58333333333334,6.25,8.333333333333332,6.25,2.083333333333333,2.083333333333333
49,Cyclotella ocellata,12,34,8.5,6.5,69.38775510204081,17.346938775510203,13.26530612244898,0.7551020408163265,32,3,4,3,1,1,65.3061224489796,6.122448979591836,8.16326530612245,6.122448979591836,2.0408163265306123,2.0408163265306123
50,Cyclotella ocellata,12,35,8.5,6.5,70,17,13,0.76,33,3,4,3,1,1,66,6,8,6,2,2
51,Cyclotella ocellata,12,36,8.5,6.5,70.58823529411765,16.666666666666664,12.745098039215685,0.7647058823529411,34,3,4,3,1,1,66.66666666666666,5.88235294117647,7.8431372549019605,5.88235294117647,1.9607843137254901,1.9607843137254901
52,Cyclotella ocellata,12,37,8.5,6.5,71.15384615384616,16.346153846153847,12.5,0.7692307692307692,35,3,4,3,1,1,67.3076923076923,5.769230769230769,7.6923076923076925,5.769230769230769,1.9230769230769231,1.9230769230769231
53,Cyclotella ocellata,12,38,8.5,6.5,71.69811320754717,16.037735849056602,12.264150943396226,0.7735849056603774,36,3,4,3,1,1,67.9245283018868,5.660377358490567,7.547169811320755,5.660377358490567,1.8867924528301887,1.8867924528301887
54,Staurosirella pinnata,12,38,9.5,6.5,70.37037037037037,17.59259259259259,12.037037037037036,0.7777777777777778,36,3,4,4,1,1,66.66666666666666,5.555555555555555,7.4074074074074066,7.4074074074074066,1.8518518518518516,1.8518518518518516
55,Staurosirella pinnata,12,38,10.5,6.5,69.0909090909091,19.090909090909093,11.818181818181818,0.7818181818181819,36,3,4,5,1,1,65.45454545454545,5.454545454545454,7.2727272727272725,9.090909090909092,1.8181818181818181,1.8181818181818181
56,Cyclotella ocellata,12,39,10.5,6.5,69.64285714285714,18.75,11.607142857142858,0.7857142857142857,37,3,4,5,1,1,66.07142857142857,5.357142857142857,7.142857142857142,8.928571428571429,1.7857142857142856,1.7857142857142856
57,Pseudostaurosira brevistriata,12,39,11.5,6.5,68.42105263157895,20.175438596491226,11.403508771929824,0.7894736842105263,37,4,4,5,1,1,64.91228070175438,7.017543859649122,7.017543859649122,8.771929824561402,1.7543859649122806,1.7543859649122806
58,Pseudostaurosira brevistriata,12,39,12.5,6.5,67.24137931034483,21.551724137931032,11.206896551724139,0.7931034482758621,37,5,4,5,1,1,63.793103448275865,8.620689655172415,6.896551724137931,8.620689655172415,1.7241379310344827,1.7241379310344827
59,Pseudostaurosira brevistriata,12,39,13.5,6.5,66.10169491525424,22.88135593220339,11.016949152542372,0.7966101694915254,37,6,4,5,1,1,62.71186440677966,10.16949152542373,6.779661016949152,8.47457627118644,1.694915254237288,1.694915254237288
60,Pseudostaurosira brevistriata,12,39,14.5,6.5,65,24.166666666666668,10.833333333333334,0.8,37,7,4,5,1,1,61.66666666666667,11.666666666666666,6.666666666666667,8.333333333333332,1.6666666666666667,1.6666666666666667
61,Cyclotella ocellata,12,40,14.5,6.5,65.57377049180327,23.770491803278688,10.655737704918032,0.8032786885245902,38,7,4,5,1,1,62.295081967213115,11.475409836065573,6.557377049180328,8.19672131147541,1.639344262295082,1.639344262295082
62,Cyclotella ocellata,12,41,14.5,6.5,66.12903225806451,23.387096774193548,10.483870967741936,0.8064516129032258,39,7,4,5,1,1,62.903225806451616,11.29032258064516,6.451612903225806,8.064516129032258,1.6129032258064515,1.6129032258064515
63,Cyclotella ocellata,12,42,14.5,6.5,66.66666666666666,23.015873015873016,10.317460317460316,0.8095238095238095,40,7,4,5,1,1,63.49206349206349,11.11111111111111,6.349206349206349,7.936507936507936,1.5873015873015872,1.5873015873015872
64,Cyclotella ocellata,12,43,14.5,6.5,67.1875,22.65625,10.15625,0.8125,41,7,4,5,1,1,64.0625,10.9375,6.25,7.8125,1.5625,1.5625
65,Cyclotella ocellata,12,44,14.5,6.5,67.6923076923077,22.30769230769231,10,0.8153846153846154,42,7,4,5,1,1,64.61538461538461,10.76923076923077,6.153846153846154,7.6923076923076925,1.5384615384615385,1.5384615384615385
66,Cyclotella ocellata,12,45,14.5,6.5,68.18181818181817,21.96969696969697,9.848484848484848,0.8181818181818181,43,7,4,5,1,1,65.15151515151516,10.606060606060606,6.0606060606060606,7.575757575757576,1.5151515151515151,1.5151515151515151
67,Cyclotella ocellata,12,46,14.5,6.5,68.65671641791045,21.641791044776117,9.701492537313433,0.8208955223880597,44,7,4,5,1,1,65.67164179104478,10.44776119402985,5.970149253731343,7.462686567164178,1.4925373134328357,1.4925373134328357
68,Amphora copulata,13,46,14.5,7.5,67.64705882352942,21.323529411764707,11.029411764705882,0.8088235294117647,44,7,4,5,1,1,64.70588235294117,10.294117647058822,5.88235294117647,7.352941176470589,1.4705882352941175,1.4705882352941175
69,Amphora copulata,13,46,14.5,8.5,66.66666666666666,21.014492753623188,12.318840579710146,0.8115942028985508,44,7,4,5,1,1,63.76811594202898,10.144927536231885,5.797101449275362,7.246376811594203,1.4492753623188406,1.4492753623188406
70,Cyclotella ocellata,13,47,14.5,8.5,67.14285714285714,20.714285714285715,12.142857142857142,0.8142857142857143,45,7,4,5,1,1,64.28571428571429,10,5.714285714285714,7.142857142857142,1.4285714285714286,1.4285714285714286
71,Cyclotella ocellata,13,48,14.5,8.5,67.6056338028169,20.422535211267608,11.971830985915492,0.8169014084507042,46,7,4,5,1,1,64.7887323943662,9.859154929577464,5.633802816901409,7.042253521126761,1.4084507042253522,1.4084507042253522
72,Cyclotella ocellata,13,49,14.5,8.5,68.05555555555556,20.13888888888889,11.805555555555555,0.8194444444444444,47,7,4,5,1,1,65.27777777777779,9.722222222222223,5.555555555555555,6.944444444444445,1.3888888888888888,1.3888888888888888
73,Cyclotella minuscula,13,50,14.5,8.5,68.4931506849315,19.863013698630137,11.643835616438356,0.821917808219178,47,7,4,5,1,1,64.38356164383562,9.58904109589041,5.47945205479452,6.8493150684931505,1.36986301369863,1.36986301369863
74,Staurosirella pinnata,13,50,15.5,8.5,67.56756756756756,20.945945945945947,11.486486486486488,0.8243243243243243,47,7,4,6,1,1,63.51351351351351,9.45945945945946,5.405405405405405,8.108108108108109,1.3513513513513513,1.3513513513513513
