valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_min,no_of_p_oc,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_e_mic,p_min_pc,p_oc_pc,s_con_pc,s_pin_pc,a_ped_pc,e_mic_pc
1,Gomphonema sp. 1,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nitzschia frustulum,2,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cyclotella minuscula,3,1,0,2,33.33333333333333,0,66.66666666666666,0,1,0,0,0,0,0,33.33333333333333,0,0,0,0,0
4,Nitzschia spp.,4,1,0,3,25,0,75,0,1,0,0,0,0,0,25,0,0,0,0,0
5,Naviculoid spp.,5,1,0,4,20,0,80,0,1,0,0,0,0,0,20,0,0,0,0,0
6,Nitzschia lacuum,6,1,0,5,16.666666666666664,0,83.33333333333334,0,1,0,0,0,0,0,16.666666666666664,0,0,0,0,0
7,Nitzschia lacuum,6,1,0,6,14.285714285714285,0,85.71428571428571,0.1428571428571429,1,0,0,0,0,0,14.285714285714285,0,0,0,0,0
8,Naviculoid spp.,6,1,0,7,12.5,0,87.5,0.25,1,0,0,0,0,0,12.5,0,0,0,0,0
9,Cyclotella ocellata,7,2,0,7,22.22222222222222,0,77.77777777777779,0.2222222222222222,1,1,0,0,0,0,11.11111111111111,11.11111111111111,0,0,0,0
10,Cyclotella minuscula,7,3,0,7,30,0,70,0.30000000000000004,2,1,0,0,0,0,20,10,0,0,0,0
11,Cyclotella minuscula,7,4,0,7,36.36363636363637,0,63.63636363636363,0.36363636363636365,3,1,0,0,0,0,27.27272727272727,9.090909090909092,0,0,0,0
12,Cyclotella minuscula,7,5,0,7,41.66666666666667,0,58.333333333333336,0.41666666666666663,4,1,0,0,0,0,33.33333333333333,8.333333333333332,0,0,0,0
13,Cyclotella ocellata,7,6,0,7,46.15384615384615,0,53.84615384615385,0.46153846153846156,4,2,0,0,0,0,30.76923076923077,15.384615384615385,0,0,0,0
