taxon,type
Actinocyclus normanii,planktonic
Asterionella formosa,planktonic
Aulacoseira granulata,planktonic
Cyclotella meneghinia,planktonic
Cyclotella pantanellia,planktonic
Ellerbeckia areria,planktonic
Pantocsekiella minuscula,planktonic
Pantocsekiella ocellata,planktonic
﻿Pantocsekiella ocellata (≤20 µm),planktonic
﻿Pantocsekiella ocellata (>20 µm),planktonic
﻿Pantocsekiella ocellata (unidentifiable size),planktonic
Stephanodiscus medius,planktonic
Stephanodiscus parvus,planktonic
Fragillaria spp.,facultative planktonic
Fragillaria vaucheriae,facultative planktonic
Pseudostaurosira brevistriata,facultative planktonic
Pseudostaurosira parasitica,facultative planktonic
Staurosira binodis,facultative planktonic
Staurosira construens,facultative planktonic
Staurosira spp.,facultative planktonic
Staurosira venter,facultative planktonic
Staurosirella laponnica,facultative planktonic
Staurosirella leptostauron,facultative planktonic
Staurosirella leptostauron var. dubia,facultative planktonic
Staurosirella leptostauron var. martyi,facultative planktonic
Staurosirella pinnata,facultative planktonic
Tabellaria fenestrata,facultative planktonic
Achnthes lacurum,benthic
Achnthidium minutissimum,benthic
Achnthidium rosenstockii,benthic
Adlafia minuscula,benthic
Amphora copulata,benthic
Amphora hemicycla,benthic
Amphora ovalis,benthic
Amphora pediculus,benthic
Amphora spp.,benthic
Aneumastus albanicus,benthic
Aneumastus minor,benthic
Aneumastus rhombicus,benthic
Aneumastus stroesei,benthic
Aneumastus spp.,benthic
Anomoeneis sphaerophora,benthic
Caloneis biconstrictoides,benthic
Caloneis lancettula,benthic
Caloneis schumannia var. biconstricta,benthic
Caloneis schumannia var. lancettula,benthic
Caloneis silicula var. tumida,benthic
Caloneis spp.,benthic
Campylodiscus hibernicus,benthic
Cavinula cocconeiformis,benthic
Cavinula jaernefeltii,benthic
Cavinula lapidosa,benthic
Cavinula scutelloides,benthic
Cocconeis disculus,benthic
Cocconeis lineata,benthic
Cocconeis neothumensis,benthic
Cocconeis placentula,benthic
Cocconeis pseudolineata,benthic
Cocconeis pseudothumensis,benthic
Craticula buderi,benthic
Cymatopleura elliptica,benthic
Cymatopleura solea,benthic
Cymatopleura solea var. apiculata,benthic
Cymbella affiniformis,benthic
Cymbella excisiformis,benthic
Cymbella helvetica,benthic
Cymbella spp.,benthic
Cymbellafalsa diluvia,benthic
Cymbopleura cuspidata,benthic
Cymbopleura spp.,benthic
Diatoma ehrenbergii,benthic
Diatoma spp.,benthic
Diploneis elliptica,benthic
Diploneis krammeri,benthic
Diploneis marginestriata,benthic
Diploneis mauleri,benthic
Diploneis minuta,benthic
