depth,daz
138.02,12
138.82,12
139.62,12
140.42,12
141.22,12
142.02,12
142.82,12
143.62,12
144.42,12
145.22,12
146.02,12
146.82,12
147.62,12
148.42,12
149.22,12
150.02,12
150.82,12
151.62,12
152.42,12
153.22,12
154.02,12
154.82,12
155.62,12
156.42,11
157.22,11
158.02,11
158.82,11
159.62,11
160.42,11
161.22,11
161.82,11
162.82,11
163.62,10
164.42,10
165.22,10
166.02,10
166.82,10
167.62,10
168.42,10
169.22,10
170.02,10
170.82,10
171.62,10
172.42,10
173.22,10
174.02,10
174.82,10
175.62,10
176.42,10
177.22,10
178.02,9
178.82,9
179.62,9
180.42,9
181.22,9
182.02,9
182.82,9
183.62,9
184.42,9
185.22,9
186.02,9
186.82,9
187.62,9
188.42,9
189.22,9
190.02,9
190.82,8
191.62,8
192.42,8
193.22,8
194.02,8
194.82,8
195.62,8
196.42,8
197.22,8
198.02,8
198.82,8
199.62,7
200.42,7
201.22,7
202.02,7
202.82,7
203.62,7
204.42,7
205.22,7
206.02,7
206.82,7
207.62,7
208.42,7
209.22,7
210.02,7
210.82,7
211.62,7
212.42,7
213.22,7
214.02,7
214.82,7
215.62,6
216.42,6
217.22,6
218.02,6
218.82,6
219.62,6
220.42,6
221.22,6
222.02,6
222.82,6
223.62,6
224.42,6
225.22,6
226.02,6
226.82,6
227.62,6
228.42,6
229.22,6
230.02,6
230.82,6
231.62,6
232.42,6
233.22,6
234.02,5
234.82,5
235.62,5
236.42,5
237.22,5
238.02,5
238.82,5
239.62,5
240.42,5
241.22,5
242.02,5
242.82,5
243.62,5
244.42,5
245.22,5
246.02,5
246.82,5
247.62,5
248.42,5
249.22,5
250.02,5
250.82,5
251.62,5
252.42,5
253.22,5
254.02,4
254.82,4
255.62,4
256.42,4
257.22,4
258.02,4
258.82,3
259.62,3
260.42,3
261.22,3
262.02,3
262.82,3
263.62,3
264.42,3
264.82,3
271.02,3
271.62,3
272.42,3
273.22,3
274.02,3
274.82,3
275.62,2
276.42,2
277.22,2
278.02,2
278.82,2
279.62,1
280.42,1
281.22,1
282.02,1
282.82,1
